Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,DelayType
2007,1,2,2,15:04:00,14:35:00,22:19:00,21:40:00,WN,2659,N474,255.0,245.0,240.0,39.0,29.0,LAS,PIT,1910,7,8,0,,0,0,29,10,0,0,"Weather, NAS"
2007,1,2,2,14:00:00,13:35:00,16:08:00,15:50:00,WN,304,N262,68.0,75.0,56.0,18.0,25.0,MDW,PIT,402,5,7,0,,0,10,0,0,0,8,"Carrier, Late Aircraft"
2007,1,2,2,17:30:00,16:55:00,19:39:00,19:15:00,WN,723,N214,69.0,80.0,54.0,24.0,35.0,MDW,PIT,402,4,11,0,,0,4,0,0,0,20,"Carrier, Late Aircraft"
2007,1,2,2,18:36:00,18:10:00,19:55:00,19:25:00,WN,1597,N344,79.0,75.0,48.0,30.0,26.0,PHL,PIT,267,6,25,0,,0,2,0,4,0,24,"Carrier, NAS, Late Aircraft"
2007,1,2,2,15:55:00,14:50:00,21:45:00,20:55:00,WN,647,N460,230.0,245.0,214.0,50.0,65.0,PHX,PIT,1813,7,9,0,,0,43,0,0,0,7,"Carrier, Late Aircraft"
2007,1,2,2,20:27:00,19:55:00,22:37:00,22:15:00,WN,1597,N344,130.0,140.0,117.0,22.0,32.0,PIT,MCO,834,5,8,0,,0,1,0,0,0,21,"Carrier, Late Aircraft"
2007,1,2,2,20:12:00,19:40:00,20:30:00,20:05:00,WN,2076,N214,78.0,85.0,66.0,25.0,32.0,PIT,MDW,402,3,9,0,,0,6,0,0,0,19,"Carrier, Late Aircraft"
2007,1,2,2,22:02:00,21:20:00,23:01:00,22:35:00,WN,647,N460,59.0,75.0,43.0,26.0,42.0,PIT,PHL,267,8,8,0,,0,0,0,0,0,26,Late Aircraft
2007,1,3,3,15:03:00,14:35:00,21:57:00,21:40:00,WN,2659,N242,234.0,245.0,223.0,17.0,28.0,LAS,PIT,1910,4,7,0,,0,17,0,0,0,0,Carrier
2007,1,3,3,17:29:00,16:55:00,19:45:00,19:15:00,WN,723,N414,76.0,80.0,57.0,30.0,34.0,MDW,PIT,402,3,16,0,,0,26,0,0,0,4,"Carrier, Late Aircraft"
2007,1,3,3,18:15:00,18:10:00,19:43:00,19:25:00,WN,1597,N406,88.0,75.0,47.0,18.0,5.0,PHL,PIT,267,6,35,0,,0,0,0,18,0,0,NAS
2007,1,3,3,15:24:00,14:50:00,21:13:00,20:55:00,WN,647,N795,229.0,245.0,218.0,18.0,34.0,PHX,PIT,1813,4,7,0,,0,12,0,0,0,6,"Carrier, Late Aircraft"
2007,1,3,3,07:17:00,07:15:00,08:18:00,07:50:00,WN,571,N726,121.0,95.0,63.0,28.0,2.0,PIT,MDW,402,4,54,0,,0,0,0,28,0,0,NAS
2007,1,3,3,20:15:00,19:40:00,20:33:00,20:05:00,WN,2076,N414,78.0,85.0,67.0,28.0,35.0,PIT,MDW,402,4,7,0,,0,4,0,0,0,24,"Carrier, Late Aircraft"
2007,1,4,4,17:04:00,17:05:00,19:20:00,19:00:00,WN,641,N757,316.0,295.0,297.0,20.0,-1.0,PIT,LAS,1910,8,11,0,,0,0,0,20,0,0,NAS
2007,1,4,4,20:03:00,19:40:00,20:59:00,20:05:00,WN,2076,N228,116.0,85.0,73.0,54.0,23.0,PIT,MDW,402,25,18,0,,0,0,23,31,0,0,"Weather, NAS"
2007,1,5,5,23:29:00,21:45:00,00:33:00,23:00:00,WN,231,N703SW,64.0,75.0,46.0,93.0,104.0,PHL,PIT,267,4,14,0,,0,0,0,0,0,93,Late Aircraft
2007,1,5,5,21:12:00,18:10:00,22:27:00,19:25:00,WN,1597,N370,75.0,75.0,46.0,182.0,182.0,PHL,PIT,267,6,23,0,,0,0,0,0,0,182,Late Aircraft
2007,1,5,5,17:13:00,17:05:00,19:27:00,19:00:00,WN,641,N222,314.0,295.0,300.0,27.0,8.0,PIT,LAS,1910,5,9,0,,0,0,0,19,0,8,"NAS, Late Aircraft"
2007,1,5,5,10:36:00,10:40:00,12:51:00,12:35:00,WN,2504,N794,315.0,295.0,298.0,16.0,-4.0,PIT,LAS,1910,6,11,0,,0,0,0,16,0,0,NAS
2007,1,5,5,22:45:00,19:55:00,00:44:00,22:15:00,WN,1597,N370,119.0,140.0,110.0,149.0,170.0,PIT,MCO,834,3,6,0,,0,0,0,0,0,149,Late Aircraft
2007,1,5,5,19:21:00,16:15:00,20:43:00,17:30:00,WN,304,N215,82.0,75.0,67.0,193.0,186.0,PIT,PHL,267,6,9,0,,0,0,0,182,0,11,"NAS, Late Aircraft"
2007,1,5,5,22:23:00,21:20:00,00:45:00,22:35:00,WN,647,N404,142.0,75.0,100.0,130.0,63.0,PIT,PHL,267,5,37,0,,0,0,0,130,0,0,NAS
2007,1,5,5,16:50:00,14:40:00,17:55:00,15:50:00,WN,899,N233,65.0,70.0,53.0,125.0,130.0,PIT,PHL,267,3,9,0,,0,0,125,0,0,0,Weather
2007,1,6,6,18:15:00,18:10:00,19:59:00,19:20:00,WN,803,N795,104.0,70.0,63.0,39.0,5.0,PIT,PHL,267,5,36,0,,0,0,0,39,0,0,NAS
2007,1,7,7,18:19:00,18:10:00,19:53:00,19:25:00,WN,1597,N349,94.0,75.0,58.0,28.0,9.0,PHL,PIT,267,7,29,0,,0,0,0,20,0,8,"NAS, Late Aircraft"
2007,1,7,7,20:13:00,19:55:00,22:32:00,22:15:00,WN,1597,N349,139.0,140.0,125.0,17.0,18.0,PIT,MCO,834,5,9,0,,0,0,0,0,0,17,Late Aircraft
2007,1,7,7,18:08:00,18:10:00,20:17:00,19:20:00,WN,803,N735,129.0,70.0,63.0,57.0,-2.0,PIT,PHL,267,16,50,0,,0,0,0,57,0,0,NAS
2007,1,8,1,13:23:00,12:35:00,14:25:00,13:50:00,WN,2380,N254,62.0,75.0,48.0,35.0,48.0,PHL,PIT,267,7,7,0,,0,0,0,0,0,35,Late Aircraft
2007,1,8,1,11:31:00,10:55:00,12:38:00,12:10:00,WN,2600,N235,67.0,75.0,50.0,28.0,36.0,PHL,PIT,267,5,12,0,,0,0,0,0,0,28,Late Aircraft
2007,1,8,1,14:44:00,14:15:00,15:02:00,14:40:00,WN,2380,N254,78.0,85.0,66.0,22.0,29.0,PIT,MDW,402,4,8,0,,0,0,0,0,0,22,Late Aircraft
2007,1,8,1,18:08:00,18:10:00,19:46:00,19:20:00,WN,803,N735,98.0,70.0,65.0,26.0,-2.0,PIT,PHL,267,4,29,0,,0,0,0,26,0,0,NAS
2007,1,8,1,11:50:00,11:25:00,13:09:00,12:30:00,WN,2149,N326,79.0,65.0,50.0,39.0,25.0,PIT,PHL,267,9,20,0,,0,0,0,39,0,0,NAS
